1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
417	-0.591050	148.723548	7.793014	0.014300	1.4
418	-0.556560	148.216598	7.816360	0.010473	0.9
419	-0.555284	147.713240	7.839681	0.021835	1.2
420	-0.569792	147.206291	7.863308	0.014885	1.5
421	-0.575892	146.699656	7.887064	0.009340	0.8
422	-0.583513	147.699656	7.840312	0.015682	1.6
423	-0.586748	147.192707	7.863943	0.019571	0.8
424	-0.569669	146.686305	7.887692	0.015055	0.9
425	-0.572270	146.179356	7.911610	0.011981	1.1
426	-0.573048	147.178516	7.864607	0.015813	1.2
427	-0.582848	148.178516	7.818120	0.014495	0.8
428	-0.592995	149.178514	7.772179	0.010373	1.7
429	-0.570029	148.805393	7.789257	0.018447	1.1
430	-0.590470	148.298444	7.812582	0.013526	1.2
431	-0.588462	147.883702	7.831768	0.011071	1.3
432	-0.576385	147.376752	7.855348	0.015117	1.1
433	-0.601245	146.870007	7.879060	0.008341	1.0
434	-0.578136	146.374279	7.902397	0.014672	1.1
435	-0.567392	145.867329	7.926404	0.014663	1.2
436	-0.577821	145.499564	7.943912	0.011582	0.9
437	-0.570067	146.366470	7.902765	0.014380	1.2
438	-0.600652	147.280964	7.859819	0.014706	1.1
439	-0.633687	148.131696	7.820284	0.016679	0.9
440	-0.562326	149.131657	7.774320	0.011111	1.4
441	-0.578926	150.131657	7.728891	0.011157	1.7
442	-0.560783	151.131590	7.683993	0.015449	0.8
443	-0.555607	152.131191	7.639628	0.018032	1.6
444	-0.569195	151.624242	7.662064	0.017182	0.9
445	-0.577786	152.624242	7.617933	0.027500	1.0
446	-0.558637	153.624242	7.574309	0.011766	1.3
447	-0.572891	154.624239	7.531181	0.013245	1.0
448	-0.576998	154.940201	7.517656	0.016365	0.8
449	-0.570697	155.940198	7.475169	0.021825	1.3
450	-0.582620	155.433249	7.496648	0.015534	1.0
451	-0.583451	154.926299	7.518250	0.014852	0.9
452	-0.603552	154.419350	7.539977	0.011576	0.9
453	-0.557835	155.419350	7.497238	0.015466	1.5
454	-0.588450	154.920524	7.518497	0.014510	1.1
455	-0.582092	154.413575	7.540226	0.009869	1.2
456	-0.576724	155.413575	7.497484	0.015325	1.5
457	-0.553659	156.413575	7.455224	0.012303	1.0
458	-0.607192	155.906625	7.476588	0.020512	1.1
459	-0.545146	155.399676	7.498075	0.014439	1.4
460	-0.624008	154.892727	7.519685	0.010952	1.0
461	-0.621972	155.892713	7.477176	0.012631	0.8
462	-0.559064	156.891244	7.435205	0.016081	1.2
463	-0.589161	157.891244	7.393643	0.011608	1.4
464	-0.591045	158.891244	7.352542	0.017079	0.8
465	-0.570390	159.884715	7.312160	0.009950	1.1
466	-0.571822	160.884715	7.271958	0.012946	1.0
467	-0.594003	161.884689	7.232196	0.022393	1.2
468	-0.564131	161.377740	7.252299	0.020111	1.6
469	-0.570263	162.377740	7.212751	0.008095	1.1
470	-0.564101	161.870791	7.232746	0.017034	0.9
471	-0.566419	162.870786	7.193410	0.015813	1.3
472	-0.587526	162.397420	7.211977	0.016768	1.3
473	-0.584099	163.397419	7.172866	0.018396	0.8
474	-0.562659	162.890470	7.192640	0.016862	1.6
475	-0.559757	162.383520	7.212523	0.018785	1.1
476	-0.564385	161.876571	7.232517	0.010972	0.8
477	-0.560754	161.369622	7.252622	0.013039	0.9
478	-0.541709	162.369558	7.213073	0.019557	1.2
479	-0.593851	161.862608	7.233069	0.023113	1.1
480	-0.585787	161.355742	7.253174	0.012228	0.9
481	-0.583714	162.349715	7.213853	0.009743	1.9
482	-0.573250	163.342323	7.175010	0.013511	1.1
483	-0.525517	164.342147	7.136304	0.013660	0.9
484	-0.564362	165.342126	7.098008	0.011744	1.6
485	-0.554237	166.342126	7.060120	0.018810	1.2
486	-0.556931	167.342119	7.022635	0.012757	0.8
487	-0.598977	166.835170	7.041588	0.016144	1.4
488	-0.559593	167.835170	7.004299	0.015770	1.4
489	-0.550347	167.328221	7.023153	0.014442	0.8
490	-0.606682	166.821271	7.042109	0.014606	1.6
491	-0.571101	166.669849	7.047791	0.015440	0.9
492	-0.575416	167.669849	7.010436	0.014390	0.9
493	-0.581320	167.162926	7.029323	0.012313	2.3
494	-0.592347	166.655977	7.048312	0.027447	1.0
495	-0.571438	166.149027	7.067405	0.019369	1.6
496	-0.558677	167.149027	7.029842	0.021584	0.8
497	-0.614284	168.149027	6.992676	0.021954	2.1
498	-0.589592	169.149027	6.955902	0.023592	1.0
499	-0.551927	168.642078	6.974496	0.015571	0.9
500	-0.583495	168.135436	6.993179	0.013389	1.8
501	-0.577652	169.067406	6.958889	0.013545	1.0
502	-0.561325	170.067406	6.922468	0.009751	0.8
503	-0.571282	171.067406	6.886426	0.018252	1.5
504	-0.569289	172.058158	6.851085	0.013087	1.2
505	-0.554720	173.058156	6.815781	0.011863	0.8
506	-0.540734	173.707602	6.793047	0.013567	1.6
